,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Positive Regulation Of Neurogenesis (GO:0050769),7/75,1.2184549364308072e-05,0.0121479957162151,0,0,10.204108779190069,115.4629791559532,TIAM2;PTPRD;NTRK2;PLXNA2;LIG4;HAPLN1;ROBO1
1,GO_Biological_Process_2023,Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0048009),3/10,0.0001225149421150686,0.0610736986443617,0,0,41.77410274454609,376.2709381969934,GHR;PIK3R1;PLCB1
2,GO_Biological_Process_2023,Steroid Metabolic Process (GO:0008202),6/92,0.00037926853293699086,0.1260435757793933,0,0,6.8748837209302325,54.15528829478805,CYP2R1;SDR9C7;CYP7B1;PRLR;CYP7A1;CYP17A1
3,GO_Biological_Process_2023,Positive Regulation Of Axonogenesis (GO:0050772),4/38,0.0006133061353510705,0.1528665542362543,0,0,11.508444962143273,85.1238973261539,TIAM2;NTRK2;PLXNA2;ROBO1
4,GO_Biological_Process_2023,Regulation Of Axonogenesis (GO:0050770),4/42,0.0009006157466599998,0.1795827798840039,0,0,10.294945284002084,72.19260236432163,TIAM2;NTRK2;PLXNA2;ROBO1
5,GO_Biological_Process_2023,Positive Regulation Of Cell Projection Organization (GO:0031346),6/118,0.0014058449716554,0.233604572790075,0,0,5.271964285714286,34.621604985377,TIAM2;PTPRD;NTRK2;TENM3;PLXNA2;ROBO1
6,GO_Biological_Process_2023,Steroid Biosynthetic Process (GO:0006694),4/50,0.0017380497109971,0.2475479374091652,0,0,8.50107619457598,54.02426823367517,CYP7B1;PRLR;CYP7A1;CYP17A1
7,GO_Biological_Process_2023,Taurine Metabolic Process (GO:0019530),2/7,0.0021428927845832,0.2644620847787401,0,0,38.80196078431373,238.46127565092212,GHR;CSAD
8,GO_Biological_Process_2023,Cell Surface Pattern Recognition Receptor Signaling Pathway (GO:0002752),2/8,0.0028378436887639,0.2644620847787401,0,0,32.333333333333336,189.6256485441523,COLEC10;MBL2
9,GO_Biological_Process_2023,Positive Regulation Of Opsonization (GO:1903028),2/8,0.0028378436887639,0.2644620847787401,0,0,32.333333333333336,189.6256485441523,COLEC10;MBL2
10,GO_Biological_Process_2023,Diterpenoid Metabolic Process (GO:0016101),3/28,0.0029178364418918,0.2644620847787401,0,0,11.686108374384236,68.21079650966007,ALDH3A2;ALDH1A1;LRAT
11,GO_Biological_Process_2023,Negative Chemotaxis (GO:0050919),3/31,0.0039139517921971,0.3251841614017133,0,0,10.43244194229416,57.82919278438872,LRTM2;LRTM1;ROBO1
12,GO_Biological_Process_2023,Regulation Of Opsonization (GO:1903027),2/10,0.0044993376662323,0.3450645887102829,0,0,24.24754901960784,131.02951347995943,COLEC10;MBL2
13,GO_Biological_Process_2023,Semaphorin-Plexin Signaling Pathway (GO:0071526),3/34,0.0050940231553236,0.362767220418404,0,0,9.421420626092484,49.74215536293804,FARP2;SEMA5B;PLXNA2
